,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
31,ART 205,01,Darkroom Photography,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),PRQ  - Instructor Permission Required,empty,Studio
32,ART 206,01,Digital Photography,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
33,ART 222,01,Media Art,empty,ART 111 - Introduction to Design,empty,Lecture
34,ART 246,01,Twentieth Century Art,GER - Writing :: WR (Writing-Research Intensive),(1 FYW course) AND (ART 131 History of Western Art II),empty,Lecture
35,ART 263,01,Arts of Japan,GER - CORE :: VP (Human Cultures - Visual and Performing Arts)/GER - Global Awareness :: WC (World Cultures)/IDS :: Asian Studies/IDS :: Japanese Studies,empty,empty,Lecture
36,ART 265,01,Museums Are Not Neutral,GER - Writing :: WR (Writing-Research Intensive),1 FYW course,empty,Lecture
37,ART 272,01,Success in the Arts,IDS :: Visual Strategy,1 course from ART THA or MUS,empty,Lecture
38,ART 302,TU,Painting Portfolio,empty,ART 204,empty,Studio
39,ART 303,01,Photographic Essay,GER - CORE :: VP (Human Cultures - Visual and Performing Arts)/IDS :: Journalism/IDS :: Visual Strategy,ART 205 OR ART 206,empty,Studio
40,ART 320,01,Brand Design,IDS :: Visual Strategy,ART 111 Visual Language I,empty,Studio
41,ART 330,TU,Art Theory and Criticism,empty,1 art history course,empty,Lecture
42,ART 402,01,Studio Seminar II,empty,ART 401 Studio Seminar I,empty,Studio
43,ART 501,01,Independent Study,empty,Instructor permission required,empty,Independent Study
44,ART 501,02,Independent Study,empty,Instructor permission required,empty,Independent Study
45,ART 501,03,Independent Study,empty,Instructor permission required,empty,Independent Study
46,ART 503,01,Individualized Internship,empty,Instructor permission required,empty,Independent Study
47,AST 240,01,Archaeology of the Silk Road,GER - CORE :: HA (Historical Analysis)/GER - Global Awareness :: WC (World Cultures)/IDS :: Anthropology/IDS :: Medieval & Early Modern Studies,Instructor Permission Required,empty,Lecture
48,AST 250,01,Human Development in Contemporary Asia,GER - CORE :: HB (Empirical Study of Human Behavior)/GER - Global Awareness :: WC (World Cultures)/IDS :: Anthropology/IDS :: Asian Studies/IDS :: Chinese Studies,empty,empty,Lecture
49,AST 470,01,Seminar in Asian Studies,GER - Writing :: WR (Writing-Research Intensive)/IDS :: Asian Studies/IDS :: Chinese Studies/IDS :: Japanese Studies,Instructor Permission Required,empty,Seminar
50,AST 470,TU,Seminar in Asian Studies,GER - Writing :: WR (Writing-Research Intensive)/IDS :: Asian Studies/IDS :: Chinese Studies/IDS :: Japanese Studies,Instructor Permission Required,empty,Seminar
51,BIO 075,01,Seminar in Biology,empty,empty,empty,Seminar
52,BIO 075,02,Seminar in Biology,empty,empty,empty,Seminar
53,BIO 102,01,Biology and the Environment,GER - CORE :: NWL - Natural World with Lab (meets requirements for BA/BM only)/GER - Global Awareness :: NE (Humans and the Natural Environment)/IDS :: Environmental Studies,No BIO 101 Equivalencies,BIO 102-01L - Biology and the Environment,Lecture
54,BIO 102,01L,Biology and the Environment,GER - CORE :: NWL - Natural World with Lab (meets requirements for BA/BM only)/GER - Global Awareness :: NE (Humans and the Natural Environment)/IDS :: Environmental Studies,No BIO 101 Equivalencies,BIO 102-01 - Biology and the Environment,Laboratory
55,BIO 111,01,Foundations of Biology,GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types)/IDS :: Neuroscience,empty,BIO 111-01L - Foundations of Biology,Lecture
56,BIO 111,01L,Foundations of Biology,GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types)/IDS :: Neuroscience,empty,BIO 111-01 - Foundations of Biology,Laboratory
57,BIO 111,02,Foundations of Biology,GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types)/IDS :: Neuroscience,empty,BIO 111-02L - Foundations of Biology,Lecture
58,BIO 111,02L,Foundations of Biology,GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types)/IDS :: Neuroscience,empty,BIO 111-02 - Foundations of Biology,Laboratory
59,BIO 111,03,Foundations of Biology,GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types)/IDS :: Neuroscience,empty,BIO 111-03L - Foundations of Biology,Lecture
60,BIO 111,03L,Foundations of Biology,GER - CORE :: NWL - Natural World with Lab (meets requirement for BS and all other degree types)/IDS :: Neuroscience,empty,BIO 111-03 - Foundations of Biology,Laboratory
61,BIO 210,01,Genetics,IDS :: Neuroscience,BIO 101 OR BIO 102 OR BIO 111,BIO 210-01L - Genetics,Lecture
62,BIO 210,01L,Genetics,IDS :: Neuroscience,BIO 101 OR BIO 102 OR BIO 111,BIO 210-01 - Genetics,Laboratory
63,BIO 210,02,Genetics,IDS :: Neuroscience,BIO 101 OR BIO 102 OR BIO 111,BIO 210-02L - Genetics,Lecture
64,BIO 210,02L,Genetics,IDS :: Neuroscience,BIO 101 OR BIO 102 OR BIO 111,BIO 210-02 - Genetics,Laboratory
65,BIO 210,03,Genetics,IDS :: Neuroscience,BIO 101 OR BIO 102 OR BIO 111,BIO 210-03L - Genetics,Lecture
66,BIO 210,03L,Genetics,IDS :: Neuroscience,BIO 101 OR BIO 102 OR BIO 111,BIO 210-03 - Genetics,Laboratory
67,BIO 210,04,Genetics,IDS :: Neuroscience,BIO 101 OR BIO 102 OR BIO 111,BIO 210-04L - Genetics,Lecture
68,BIO 210,04L,Genetics,IDS :: Neuroscience,BIO 101 OR BIO 102 OR BIO 111,BIO 210-04 - Genetics,Laboratory
69,BIO 222,01,Research and Analysis,GER - Writing :: WR (Writing-Research Intensive)/IDS :: Data Analytics/IDS :: Neuroscience,(1 FYW course) AND (1 Biology course),BIO 222-01L - Research and Analysis,Lecture
70,BIO 222,01L,Research and Analysis,GER - Writing :: WR (Writing-Research Intensive)/IDS :: Data Analytics/IDS :: Neuroscience,(1 FYW course) AND (1 Biology course),BIO 222-01 - Research and Analysis,Laboratory
