,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
690,MUS 541,01,Flute,empty,empty,empty,Studio
691,MUS 541A,01,Flute,empty,empty,empty,Studio
692,MUS 541B,01,Flute,empty,empty,empty,Studio
693,MUS 541C,01,Flute,empty,empty,empty,Studio
694,MUS 541D,01,Flute,empty,empty,empty,Studio
695,MUS 541E,01,Flute,empty,empty,empty,Studio
696,MUS 542,01,Oboe,empty,empty,empty,Studio
697,MUS 542A,01,Oboe,empty,empty,empty,Studio
698,MUS 542B,01,Oboe,empty,empty,empty,Studio
699,MUS 542C,01,Oboe,empty,empty,empty,Studio
700,MUS 542D,01,Oboe,empty,empty,empty,Studio
701,MUS 542E,01,Oboe,empty,empty,empty,Studio
702,MUS 543,01,Clarinet,empty,empty,empty,Studio
703,MUS 543A,01,Clarinet,empty,empty,empty,Studio
704,MUS 543B,01,Clarinet,empty,empty,empty,Studio
705,MUS 543C,01,Clarinet,empty,empty,empty,Studio
706,MUS 543D,01,Clarinet,empty,empty,empty,Studio
707,MUS 543E,01,Clarinet,empty,empty,empty,Studio
708,MUS 544,01,Bassoon,empty,empty,empty,Studio
709,MUS 544A,01,Bassoon,empty,empty,empty,Studio
710,MUS 544B,01,Bassoon,empty,empty,empty,Studio
711,MUS 544C,01,Bassoon,empty,empty,empty,Studio
712,MUS 544D,01,Bassoon,empty,empty,empty,Studio
713,MUS 544E,01,Bassoon,empty,empty,empty,Studio
714,MUS 545,01,Saxophone,empty,empty,empty,Studio
715,MUS 545A,01,Saxophone,empty,empty,empty,Lecture
716,MUS 545B,01,Saxophone,empty,empty,empty,Lecture
717,MUS 545C,01,Saxophone,empty,empty,empty,Lecture
718,MUS 545D,01,Saxophone,empty,empty,empty,Lecture
719,MUS 545E,01,Saxophone,empty,empty,empty,Lecture
720,MUS 546,01,Contra-Bassoon,empty,empty,empty,Studio
721,MUS 546A,01,Contra-Bassoon,empty,empty,empty,Studio
722,MUS 546B,01,Contra-Bassoon,empty,empty,empty,Studio
723,MUS 546C,01,Contra-Bassoon,empty,empty,empty,Studio
724,MUS 546D,01,Contra-Bassoon,empty,empty,empty,Studio
725,MUS 546E,01,Contra-Bassoon,empty,empty,empty,Studio
726,MUS 547,01,Bass Clarinet,empty,empty,empty,Studio
727,MUS 547A,01,Bass-Clarinet,empty,empty,empty,Studio
728,MUS 547B,01,Bass-Clarinet,empty,empty,empty,Studio
729,MUS 547C,01,Bass-Clarinet,empty,empty,empty,Studio
730,MUS 547D,01,Bass-Clarinet,empty,empty,empty,Studio
731,MUS 547E,01,Bass-Clarinet,empty,empty,empty,Studio
732,MUS 548,01,Piccolo,empty,empty,empty,Studio
733,MUS 548A,01,Piccolo,empty,empty,empty,Studio
734,MUS 548B,01,Piccolo,empty,empty,empty,Studio
735,MUS 548C,01,Piccolo,empty,empty,empty,Studio
736,MUS 548D,01,Piccolo,empty,empty,empty,Studio
737,MUS 548E,01,Piccolo,empty,empty,empty,Studio
738,MUS 549,01,English Horn,empty,empty,empty,Studio
739,MUS 549A,01,English Horn,empty,empty,empty,Studio
740,MUS 549B,01,English Horn,empty,empty,empty,Studio
741,MUS 549C,01,English Horn,empty,empty,empty,Studio
742,MUS 549D,01,English Horn,empty,empty,empty,Studio
743,MUS 549E,01,English Horn,empty,empty,empty,Studio
744,MUS 551,01,Percussion,empty,empty,empty,Studio
745,MUS 551A,01,Percussion,empty,empty,empty,Studio
746,MUS 551B,01,Percussion,empty,empty,empty,Studio
747,MUS 551C,01,Percussion,empty,empty,empty,Studio
748,MUS 551D,01,Percussion,empty,empty,empty,Studio
749,MUS 551E,01,Percussion,empty,empty,empty,Studio
750,MUS 552,01,Drum Set,empty,empty,empty,Studio
751,MUS 552A,01,Drum Set,empty,empty,empty,Studio
752,MUS 552B,01,Drum Set,empty,empty,empty,Studio
753,MUS 552C,01,Drum Set,empty,empty,empty,Studio
754,MUS 552D,01,Drum Set,empty,empty,empty,Studio
755,MUS 552E,01,Drum Set,empty,empty,empty,Studio
756,MUS 561,01,Piano,empty,empty,empty,Studio
757,MUS 561,02,Piano,empty,empty,empty,Studio
758,MUS 561,03,Piano,empty,empty,empty,Studio
759,MUS 561A,01,Piano,empty,empty,empty,Studio
760,MUS 561A,02,Piano,empty,empty,empty,Studio
761,MUS 561A,03,Piano,empty,empty,empty,Studio
762,MUS 561C,01,Piano,empty,empty,empty,Studio
763,MUS 561C,02,Piano,empty,empty,empty,Studio
764,MUS 561C,03,Piano,empty,empty,empty,Studio
765,MUS 561D,01,Piano,empty,empty,empty,Studio
766,MUS 561D,02,Piano,empty,empty,empty,Studio
767,MUS 561D,03,Piano,empty,empty,empty,Studio
768,MUS 561E,01,Piano,empty,empty,empty,Studio
769,MUS 561E,02,Piano,empty,empty,empty,Studio
770,MUS 561E,03,Piano,empty,empty,empty,Studio
771,MUS 562,01,Organ,empty,empty,empty,Studio
772,MUS 562A,01,Organ,empty,empty,empty,Studio
773,MUS 562C,01,Organ,empty,empty,empty,Studio
774,MUS 562D,01,Organ,empty,empty,empty,Studio
775,MUS 562E,01,Organ,empty,empty,empty,Studio
776,MUS 563,01,Harpsichord,empty,empty,empty,Studio
777,MUS 563A,01,Harpsichord,empty,empty,empty,Studio
778,MUS 563C,01,Harpsichord,empty,empty,empty,Studio
779,MUS 563D,01,Harpsichord,empty,empty,empty,Studio
780,MUS 563E,01,Harpsichord,empty,empty,empty,Studio
781,MUS 564,01,Advanced Collaborative Piano,empty,empty,empty,Studio
782,MUS 569,01,Jazz Piano,empty,empty,empty,Studio
783,MUS 569A,01,Jazz Piano,empty,empty,empty,Studio
784,MUS 569C,01,Jazz Piano,empty,empty,empty,Studio
785,MUS 569D,01,Jazz Piano,empty,empty,empty,Studio
786,MUS 569E,01,Jazz Piano,empty,empty,empty,Studio
787,MUS 569E,02,Jazz Piano,empty,empty,empty,Studio
788,MUS 570,01,Bluegrass Fiddle,empty,empty,empty,Lecture
789,MUS 570A,01,Bluegrass Fiddle,empty,empty,empty,Lecture
790,MUS 570D,01,Bluegrass Fiddle,empty,empty,empty,Lecture
791,MUS 570E,01,Bluegrass Fiddle,empty,empty,empty,Lecture
792,MUS 571,01,Bluegrass Mandolin,empty,empty,empty,Lecture
793,MUS 571A,01,Bluegrass Mandolin,empty,empty,empty,Lecture
794,MUS 571D,01,Bluegrass Mandolin,empty,empty,empty,Lecture
795,MUS 571E,01,Bluegrass Mandolin,empty,empty,empty,Lecture
796,NSC 401,01,Current Topics in Neuroscience,IDS :: Neuroscience,empty,empty,Seminar
797,PHL 101,01,Introduction to Philosophy,GER - CORE :: UQ (Ultimate Questions),empty,empty,Lecture
798,PHL 101,02,Introduction to Philosophy,GER - CORE :: UQ (Ultimate Questions),empty,empty,Lecture
799,PHL 101,03,Introduction to Philosophy,GER - CORE :: UQ (Ultimate Questions),empty,empty,Lecture
800,PHL 101,05,Introduction to Philosophy,GER - CORE :: UQ (Ultimate Questions),empty,empty,Lecture
801,PHL 101,06,Introduction to Philosophy,GER - CORE :: UQ (Ultimate Questions),empty,empty,Lecture
802,PHL 101,07,Introduction to Philosophy,GER - CORE :: UQ (Ultimate Questions),empty,empty,Lecture
803,PHL 101,08,Introduction to Philosophy,GER - CORE :: UQ (Ultimate Questions),empty,empty,Lecture
804,PHL 208,01,Ethics,"GER - CORE :: TA (Critical, Analytical Interpretation of Texts), IDS :: Environmental Studies",PHL 101 Introduction to Philosophy,empty,Lecture
805,PHL 211,01,Modern Philosophy,"GER - CORE :: TA (Critical, Analytical Interpretation of Texts)",PHL 101 Introduction to Philosophy,empty,Lecture
806,PHL 220,01,Realizing Bodymind,"GER - CORE :: MB (Mind and Body), GER - Global Awareness :: WC (World Cultures), IDS :: Asian Studies, IDS :: Japanese Studies",PHL 101 Introduction to Philosophy,empty,Lecture
807,PHL 240,01,Chinese Philosophy,"GER - Global Awareness :: WC (World Cultures), IDS :: Asian Studies, IDS :: Chinese Studies",PHL 101 Introduction to Philosophy,empty,Lecture
808,PHL 245,01,Environmental Ethics,"GER - Global Awareness :: NE (Humans and the Natural Environment), IDS :: Environmental Studies, IDS :: Science Education",PHL 101 Introduction to Philosophy,empty,Lecture
809,PHL 304,01,Ethics of Globalization,"GER - Global Awareness :: NE (Humans and the Natural Environment), IDS :: Environmental Studies, IDS :: Poverty Studies",PHL 101 Introduction to Philosophy,empty,Lecture
810,PHL 305,01,Bioethics,"IDS :: Medicine, Health and Culture",PHL 101 Introduction to Philosophy,empty,Lecture
811,PHL 333,01,Philosophy of Taste,"GER - Writing :: WR (Writing-Research Intensive), IDS :: Visual Strategy",PHL 101 Introduction to Philosophy,empty,Lecture
812,PHL 370,01,Philosophers  Movements and Problems (Phenomenology & Deconstruction),empty,PHL 101 Introduction to Philosophy,empty,Lecture
813,PHL 415,01,Philosophy of Sex and Love,"IDS :: Womenâ€™s, Gender, and Sexuality Studies",PHL 101 Introduction to Philosophy,empty,Lecture
814,PHL 507,01,Senior Honor Thesis II,empty,Instructor permission required,empty,Independent Study
