CourseCode,Section,CourseTitle,RoomId,Days,Time,Status,InstructorName,Mode,Fill
ART 265,01,Museums Are Not Neutral,RAB-LLR,MWF,1:30 PM - 2:20 PM,Open,Shusuke Yagi,In-Person,20/24
ART 272,01,Success in the Arts,RAB-LLR,TR,1:00 PM - 2:15 PM,Open,Kylie Fisher,In-Person,14/15
ART 302,TU,Painting Portfolio,RAB-LLR,MW,2:30 PM - 4:20 PM,Open,Polly Gaillard,In-Person,6/24
ART 303,01,Photographic Essay,ART 302-TU - Painting Portfolio,,,Closed,Michael May,In-Person,3/0
ART 320,01,Brand Design,RAB-PRS,TR,11:30 AM - 1:20 PM,Closed,Terri Bright,In-Person,11/11
ART 330,TU,Art Theory and Criticism,RAB-DSS,TR,12:30 PM - 2:20 PM,Closed,Ross McClain,In-Person,13/12
ART 402,01,Studio Seminar II,ART 330-TU - Art Theory and Criticism,,,Closed,Sarah Archino,In-Person,1/0
ART 501,01,Independent Study,RAB-LLR,T,2:30 PM - 3:45 PM,Open,Michael May,In-Person,10/24
ART 501,02,Independent Study,ART 501-01 - Independent Study,,,Closed,Sarah Archino,In-Person,1/0
ART 501,03,Independent Study,ART 501-02 - Independent Study,,,Closed,Terri Bright,In-Person,1/0
ART 503,01,Individualized Internship,ART 501-03 - Independent Study,,,Closed,Dana Potter,In-Person,1/0
AST 240,01,Archaeology of the Silk Road,ART 503-01 - Individualized Internship,,,Closed,Michael May,In-Person,1/0
AST 250,01,Human Development in Contemporary Asia,FUR-204,TR,11:30 AM - 12:45 PM,Closed,Andrew Womack,In-Person,19/19
AST 470,01,Seminar in Asian Studies,FUR-109,TR,11:30 AM - 12:45 PM,Open,Veena Khandke,In-Person,17/24
Find Course Listings,,,FUR-229,T,2:30 PM - 5:20 PM,Open,Shusuke Yagi,In-Person,9/19
BIO 075,01,Seminar in Biology,AST 470-TU - Seminar in Asian Studies,,,Closed,Victoria Montrose,In-Person,1/0
BIO 075,02,Seminar in Biology,PYR-143,T,11:30 AM - 12:45 PM,Closed,Greg Lewis,In-Person,12/11
BIO 102,01,Biology and the Environment,PYR-143,R,11:30 AM - 12:45 PM,Closed,Min-Ken Liao,In-Person,12/11
BIO 102,01L,Biology and the Environment,PYR-126,TR,10:00 AM - 11:15 AM,Open,Travis Perry,In-Person,18/28
BIO 111,01,Foundations of Biology,PYR-141,R,2:30 PM - 5:20 PM,Open,Travis Perry,In-Person,18/28
BIO 111,01L,Foundations of Biology,PYR-028,TR,8:30 AM - 9:45 AM,Open,Wade Worthen,In-Person,23/28
BIO 111,02,Foundations of Biology,PYR-142,T,2:30 PM - 5:20 PM,Open,Wade Worthen,In-Person,23/28
BIO 111,02L,Foundations of Biology,PYR-026,MWF,11:30 AM - 12:20 PM,Open,Grace Freundlich,In-Person,24/28
BIO 111,03,Foundations of Biology,PYR-142,W,2:30 PM - 5:20 PM,Open,Grace Freundlich,In-Person,24/28
BIO 111,03L,Foundations of Biology,PYR-026,TR,10:00 AM - 11:15 AM,Open,David Hollis,In-Person,16/28
BIO 210,01,Genetics,PYR-142,R,2:30 PM - 5:20 PM,Open,David Hollis,In-Person,16/28
BIO 210,01L,Genetics,PYR-024,TR,1:00 PM - 2:15 PM,Open,Jason Rawlings,In-Person,16/18
BIO 210,02,Genetics,TNS-172,R,2:30 PM - 5:20 PM,Open,Jason Rawlings,In-Person,16/18
BIO 210,02L,Genetics,PYR-026,MWF,10:30 AM - 11:20 AM,Open,Sri Chandrasekaran,In-Person,12/18
BIO 210,03,Genetics,TNS-172,T,2:30 PM - 5:20 PM,Open,Sri Chandrasekaran,In-Person,12/18
BIO 210,03L,Genetics,PYR-026,MWF,9:30 AM - 10:20 AM,Closed,Mara Robu,In-Person,18/18
BIO 210,04,Genetics,TNS-172,M,2:30 PM - 5:20 PM,Closed,Mara Robu,In-Person,18/18
BIO 210,04L,Genetics,PYR-028,MWF,11:30 AM - 12:20 PM,Open,Mara Robu,In-Person,16/18
BIO 222,01,Research and Analysis,TNS-172,W,2:30 PM - 5:20 PM,Open,Mara Robu,In-Person,16/18
BIO 222,01L,Research and Analysis,PYR-131,MWF,9:30 AM - 10:20 AM,Closed,Grace Freundlich,In-Person,15/15
BIO 222,02,Research and Analysis,PYR-131,M,2:30 PM - 5:20 PM,Closed,Grace Freundlich,In-Person,15/15
BIO 222,02L,Research and Analysis,PYR-143,TR,1:00 PM - 2:15 PM,Open,John Quinn,In-Person,14/15
BIO 303,01,Biochemistry of the Cell,PYR-143,R,2:30 PM - 5:20 PM,Open,John Quinn,In-Person,14/15
BIO 303,01L,Biochemistry of the Cell,PYR-143,TR,10:00 AM - 11:15 AM,Closed,Linnea Freeman,In-Person,17/16
BIO 320,01,Animal Physiology,TNS-161,T,2:30 PM - 5:20 PM,Closed,Linnea Freeman,In-Person,17/16
BIO 320,01L,Animal Physiology,PYR-143,MWF,9:30 AM - 10:20 AM,Open,Dennis Haney,In-Person,15/18
BIO 322,01,Human Physiology,PYR-027,T,2:30 PM - 5:20 PM,Open,Dennis Haney,In-Person,15/18
BIO 322,01L,Human Physiology,PYR-143,MWF,11:30 AM - 12:20 PM,Closed,Adi Dubash,In-Person,19/18
BIO 340,01,Ecology,PYR-027,W,2:30 PM - 5:20 PM,Closed,Adi Dubash,In-Person,19/18
BIO 340,01L,Ecology,PYR-143,MWF,1:30 PM - 2:20 PM,Closed,Greg Lewis,In-Person,17/14
BIO 340,02,Ecology,PYR-144,W,2:30 PM - 5:20 PM,Closed,Greg Lewis,In-Person,17/14
BIO 340,02L,Ecology,PYR-129,TR,8:30 AM - 9:45 AM,Open,Travis Perry,In-Person,13/14
BIO 401,01,Economic Botany,PYR-129,T,2:30 PM - 5:20 PM,Open,Travis Perry,In-Person,13/14
BIO 401,01L,Economic Botany,PYR-144,TR,1:00 PM - 2:15 PM,Closed,Ashley Morris,In-Person,15/14
BIO 402,TS,Belize: Biodiversity and Culture,PYR-144,R,2:30 PM - 5:20 PM,Closed,Ashley Morris,In-Person,15/14
BIO 402,TSL,Belize: Biodiversity and Culture,PYR-144,TR,8:30 AM - 9:45 AM,Open,Ashley Morris,In-Person,12/24
BIO 423,TS,Marine Biology,PYR-144,M,2:30 PM - 5:20 PM,Open,Ashley Morris,In-Person,12/24
BIO 423,TSL,Marine Biology,PYR-143,MWF,10:30 AM - 11:20 AM,Open,Dennis Haney,In-Person,12/16
BIO 425,01,Developmental Biology,M | 2:30 PM - 5:20 PM,,,Open,Dennis Haney,In-Person,12/16
BIO 425,01L,Developmental Biology,PYR-028,TR,10:00 AM - 11:15 AM,Open,Jason Rawlings,In-Person,7/16
BIO 426,01,Human Anatomical Systems,TNS-175,W,2:30 PM - 5:20 PM,Open,Jason Rawlings,In-Person,7/16
BIO 426,01L,Human Anatomical Systems,PYR-026,TR,1:00 PM - 2:15 PM,Closed,Victoria Turgeon,In-Person,19/18
BIO 460,01,Neurobiology,PYR-025,R,2:30 PM - 5:20 PM,Closed,Victoria Turgeon,In-Person,19/18
BIO 460,01L,Neurobiology,HIP-209,MWF,9:30 AM - 10:20 AM,Open,David Hollis,In-Person,16/18
BIO 501,01,Independent Study,PYR-027,M,2:30 PM - 5:20 PM,Open,David Hollis,In-Person,16/18
BIO 502,02,Research,BIO 501-01 - Independent Study,,,Open,Ashley Morris,In-Person,1/0
BIO 502,03,Research,BIO 502-02 - Research,,,Open,Min-Ken Liao,In-Person,0/0
