,Program,Header,Courses
347,"German Studies, B.A.",h2: Further considerations,
348,"Spanish, B.A.",h2: A major normally consists of at least nine courses beyond SPN-201 and usually includes:,"[{'SPN-215 Composition and Conversation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60798&print'}, 'Students placing beyondSPN-215will typically complete SPN-305instead and must complete an additional course numbered 300 or greater in the discipline.', {'SPN-270 Introduction to Literary Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60803&print'}]"
349,"Spanish, B.A.",h3: two civilization courses:,"[{'SPN-220 Spanish Civilization': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60799&print'}, {'SPN-240 Latin American Civilization': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60800&print'}, {'SPN-260 Hispanics in the United States': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61429&print'}, {'SPN-320 Travel Study in Spanish Civilization': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60810&print'}, {'SPN-350 Travel Study in Contemporary Spanish America': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60814&print'}]"
350,"Spanish, B.A.",h3: two language or linguistics courses:,"[{'SPN-300 Introduction to Hispanic Linguistics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60804&print'}, {'SPN-301 Travel Study in Spanish Language': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60805&print'}, {'SPN-302 Medical Spanish': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61394&print'}, {'SPN-304 The Sounds of Spanish': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60806&print'}, {'SPN-305 Advanced Spanish Oral and Written Expression': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60807&print'}, {'SPN-306 Translation Theory and Practice': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60808&print'}, {'SPN-308 Introduction to Spanish Sociolinguistics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=62055&print'}]"
351,"Spanish, B.A.",h3: one literature survey course:,"[{'SPN-310 Travel Study in Spanish Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60809&print'}, {'SPN-330 Reading and Writing the Hispanic World': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61617&print'}, {'SPN-331 Survey of Spanish Literature I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60811&print'}, {'SPN-332 Survey of Spanish Literature II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60812&print'}, {'SPN-340 Travel Study in Spanish American Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60813&print'}, {'SPN-361 Survey of Spanish American Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60816&print'}]"
352,"Spanish, B.A.","h3: one more literature course numbered between 410 and 475 in Spanish, and one additional course numbered 400 or greater in the discipline.",
353,"Spanish, B.A.",h2: Further considerations,
354,"Spanish, B.A.",h2: Teaching in Secondary Schools,
355,"Church Music, B.M.",h2: All music majors include:,"[{'MUS-051 Freshman Music Colloquium': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60834&print'}, {'MUS-111 Basic Musicianship I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60859&print'}, {'MUS-112 Basic Musicianship II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60860&print'}, {'MUS-120 Introductory Music Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60862&print'}, {'MUS-211 Basic Musicianship III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60863&print'}, {'MUS-212 Basic Musicianship IV': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60864&print'}, {'MUS-220 Music and Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60865&print'}, {'MUS-221 Music History I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60866&print'}, {'MUS-320 Music History II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60872&print'}, {'MUS-321 Music History III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60873&print'}, {'MUS-352 Basic Conducting': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60886&print'}, 'two credits of performance topics', {'MUS-050 Recital Attendance': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60833&print'}, {'MUS-060 Symphony Orchestra': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60835&print'}, {'MUS-061 Furman Band': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60836&print'}, {'MUS-062 Furman Singers': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60837&print'}, {'MUS-063 Men’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60838&print'}, {'MUS-064 Women’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60839&print'}, {'MUS-076 Guitar Ensemble': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60850&print'}]"
356,"Church Music, B.M.",h3: seven semesters of:,[{'MUS-050 Recital Attendance': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60833&print'}]
357,"Church Music, B.M.","h3: and, participation each semester students are on campus in at least one major ensemble group:","[{'MUS-060 Symphony Orchestra': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60835&print'}, {'MUS-061 Furman Band': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60836&print'}, {'MUS-062 Furman Singers': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60837&print'}, {'MUS-063 Men’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60838&print'}, {'MUS-064 Women’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60839&print'}, {'MUS-076 Guitar Ensemble': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60850&print'}]"
358,"Church Music, B.M.",h2: A church music major must also include:,"[{'MUS-312 Orchestration': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60869&print'}, {'MUS-340 Church Music Ministry': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60882&print'}, {'MUS-341 Hymnology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60883&print'}, {'MUS-354 Choral Conducting': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60888&print'}, {'MUS-423 Survey of Choral Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60897&print'}, {'MUS-431 Vocal and Choral Methods': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60905&print'}, {'MUS-434 Elementary Music Methods': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60908&print'}, {'MUS-440 Practicum in Church Music': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60910&print'}, {'MUS-450 Vocal Pedagogy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60911&print'}, 'at least two credits of music electives from courses numbered between 300 and 499 (organ principals must complete MUS-452 Service Playing)', 'at least 16 credits of performance studies in any instrument or voice, including a minimum of 12 credits on the principal instrument and no less than four credits on a single secondary instrument (voice principals will study piano or organ; all other principals will study voice).', 'a full recital in the senior year', 'and, any course with an REL prefix']"
359,"Composition, B.M.",h2: All music majors include:,"[{'MUS-051 Freshman Music Colloquium': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60834&print'}, {'MUS-111 Basic Musicianship I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60859&print'}, {'MUS-112 Basic Musicianship II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60860&print'}, {'MUS-120 Introductory Music Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60862&print'}, {'MUS-211 Basic Musicianship III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60863&print'}, {'MUS-212 Basic Musicianship IV': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60864&print'}, {'MUS-220 Music and Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60865&print'}, {'MUS-221 Music History I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60866&print'}, {'MUS-320 Music History II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60872&print'}, {'MUS-321 Music History III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60873&print'}, {'MUS-352 Basic Conducting': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60886&print'}, 'two credits of performance topics', {'MUS-050 Recital Attendance': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60833&print'}, {'MUS-060 Symphony Orchestra': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60835&print'}, {'MUS-061 Furman Band': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60836&print'}, {'MUS-062 Furman Singers': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60837&print'}, {'MUS-063 Men’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60838&print'}, {'MUS-064 Women’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60839&print'}, {'MUS-076 Guitar Ensemble': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60850&print'}]"
360,"Composition, B.M.",h3: seven semesters of:,[{'MUS-050 Recital Attendance': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60833&print'}]
361,"Composition, B.M.","h3: and, participation each semester students are on campus in at least one major ensemble group:","[{'MUS-060 Symphony Orchestra': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60835&print'}, {'MUS-061 Furman Band': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60836&print'}, {'MUS-062 Furman Singers': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60837&print'}, {'MUS-063 Men’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60838&print'}, {'MUS-064 Women’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60839&print'}, {'MUS-076 Guitar Ensemble': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60850&print'}]"
362,"Composition, B.M.",h2: A composition major must also include:,"[{'MUS-310 Form and Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60867&print'}, {'MUS-311 Composition Seminar': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60868&print'}, {'MUS-312 Orchestration': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60869&print'}, {'MUS-314 Projects in Music Technology': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60871&print'}, {'MUS-410 Counterpoint': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60891&print'}, {'MUS-411 Contemporary Styles and Techniques': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60892&print'}, {'MUS-412 Senior Project': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60893&print'}, 'at least 16credits of performance studies, which must include at least one course each in strings, brass, percussion and woodwind instruments']"
363,"Music Education, Choral Music Emphasis, B.M.",h2: All music majors include:,"[{'MUS-051 Freshman Music Colloquium': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60834&print'}, {'MUS-111 Basic Musicianship I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60859&print'}, {'MUS-112 Basic Musicianship II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60860&print'}, {'MUS-120 Introductory Music Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60862&print'}, {'MUS-211 Basic Musicianship III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60863&print'}, {'MUS-212 Basic Musicianship IV': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60864&print'}, {'MUS-220 Music and Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60865&print'}, {'MUS-221 Music History I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60866&print'}, {'MUS-320 Music History II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60872&print'}, {'MUS-321 Music History III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60873&print'}, {'MUS-352 Basic Conducting': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60886&print'}, 'two credits of performance topics', {'MUS-050 Recital Attendance': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60833&print'}, {'MUS-060 Symphony Orchestra': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60835&print'}, {'MUS-061 Furman Band': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60836&print'}, {'MUS-062 Furman Singers': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60837&print'}, {'MUS-063 Men’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60838&print'}, {'MUS-064 Women’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60839&print'}, {'MUS-076 Guitar Ensemble': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60850&print'}]"
364,"Music Education, Choral Music Emphasis, B.M.",h3: seven semesters of:,[{'MUS-050 Recital Attendance': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60833&print'}]
365,"Music Education, Choral Music Emphasis, B.M.","h3: and, participation each semester students are on campus in at least one major ensemble group:","[{'MUS-060 Symphony Orchestra': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60835&print'}, {'MUS-061 Furman Band': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60836&print'}, {'MUS-062 Furman Singers': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60837&print'}, {'MUS-063 Men’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60838&print'}, {'MUS-064 Women’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60839&print'}, {'MUS-076 Guitar Ensemble': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60850&print'}]"
366,"Music Education, Choral Music Emphasis, B.M.",h2: Music education majors planning to certify to teach must complete:,"[{'EDU-111 Perspectives on American Education': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60425&print'}, 'or', {'EDU-112 History of Education in America': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61704&print'}, '', 'or', {'EDU-113 Introduction to Educational Philosophy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61705&print'}, '', 'or', {'EDU-114 Culture, Identity, and Schooling': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61706&print'}, '', {'EDU-120 Human Development': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60427&print'}, {'EDU-221 Students with Exceptionalities': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60430&print'}, {'EDU-434 Content Literacy Strategies and Modifications for Diverse Learners': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61347&print'}, {'EDU-505 Teaching Internship': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60462&print'}, {'MUS-312 Orchestration': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60869&print'}, {'MUS-353 Instrumental Conducting': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60887&print'}, 'or', {'MUS-354 Choral Conducting': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60888&print'}, '', {'MUS-431 Vocal and Choral Methods': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60905&print'}, 'at least one course in a natural science discipline (BIO, CHM, EES, PHY, or SCI) with a laboratory experience.']"
367,"Music Education, Choral Music Emphasis, B.M.",h2: A student with an elementary music or choral music emphasis must also complete:,"[{'MUS-334 Guitar Methods': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60881&print'}, {'MUS-423 Survey of Choral Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60897&print'}, {'MUS-433 Music Education Methods': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60907&print'}, {'MUS-434 Elementary Music Methods': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60908&print'}, {'MUS-450 Vocal Pedagogy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60911&print'}, 'at least 14 credits of performance studies consistent with the chosen emphasis (vocal majors with at least 14 credits of voice and piano majors with at least six credits of voice)']"
368,"Music Education, Choral Music Emphasis, B.M.",h2: Further considerations,
369,"Music Education, Instrumental, B.M.",h2: All music majors include:,"[{'MUS-051 Freshman Music Colloquium': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60834&print'}, {'MUS-111 Basic Musicianship I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60859&print'}, {'MUS-112 Basic Musicianship II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60860&print'}, {'MUS-120 Introductory Music Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60862&print'}, {'MUS-211 Basic Musicianship III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60863&print'}, {'MUS-212 Basic Musicianship IV': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60864&print'}, {'MUS-220 Music and Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60865&print'}, {'MUS-221 Music History I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60866&print'}, {'MUS-320 Music History II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60872&print'}, {'MUS-321 Music History III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60873&print'}, {'MUS-352 Basic Conducting': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60886&print'}, 'two credits of performance topics', {'MUS-050 Recital Attendance': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60833&print'}, {'MUS-060 Symphony Orchestra': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60835&print'}, {'MUS-061 Furman Band': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60836&print'}, {'MUS-062 Furman Singers': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60837&print'}, {'MUS-063 Men’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60838&print'}, {'MUS-064 Women’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60839&print'}, {'MUS-076 Guitar Ensemble': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60850&print'}]"
370,"Music Education, Instrumental, B.M.",h3: seven semesters of:,[{'MUS-050 Recital Attendance': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60833&print'}]
371,"Music Education, Instrumental, B.M.","h3: and, participation each semester students are on campus in at least one major ensemble group:","[{'MUS-060 Symphony Orchestra': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60835&print'}, {'MUS-061 Furman Band': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60836&print'}, {'MUS-062 Furman Singers': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60837&print'}, {'MUS-063 Men’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60838&print'}, {'MUS-064 Women’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60839&print'}, {'MUS-076 Guitar Ensemble': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60850&print'}]"
372,"Music Education, Instrumental, B.M.",h2: Music education majors planning to certify to teach must complete:,"[{'EDU-111 Perspectives on American Education': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60425&print'}, 'or', {'EDU-112 History of Education in America': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61704&print'}, '', 'or', {'EDU-113 Introduction to Educational Philosophy': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61705&print'}, '', 'or', {'EDU-114 Culture, Identity, and Schooling': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61706&print'}, '', {'EDU-120 Human Development': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60427&print'}, {'EDU-221 Students with Exceptionalities': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60430&print'}, {'EDU-434 Content Literacy Strategies and Modifications for Diverse Learners': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61347&print'}, {'EDU-505 Teaching Internship': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60462&print'}, {'MUS-312 Orchestration': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60869&print'}, {'MUS-353 Instrumental Conducting': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60887&print'}, 'or', {'MUS-354 Choral Conducting': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60888&print'}, '', {'MUS-431 Vocal and Choral Methods': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60905&print'}, 'at least one course in a natural science discipline (BIO, CHM, EES, PHY, or SCI) with a laboratory experience.']"
373,"Music Education, Instrumental, B.M.",h2: A student with a band or orchestra emphasis must also complete where methods courses are dependent on primary instrument type:,"[{'MUS-330 String Methods': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60877&print'}, {'MUS-331 Woodwind Methods': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60878&print'}, {'MUS-332 Brass Methods': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60879&print'}, {'MUS-333 Percussion Methods': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60880&print'}, {'MUS-334 Guitar Methods': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60881&print'}, {'MUS-432 Instrumental Music Methods': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60906&print'}, 'at least 14 credits of performance studies on a single instrumentconsistent with the chosen emphasis.', '', 'Majors focusing on string instruments can exclude either MUS-331, MUS-332 or MUS-333, whilemajors primarily playing wind instruments select between MUS-330 and MUS-334, andmajors concentrating on percussion instruments exclude MUS-333.']"
374,"Music Education, Instrumental, B.M.",h2: Further considerations,
375,"Music Theory, B.M.",h2: All music majors include:,"[{'MUS-051 Freshman Music Colloquium': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60834&print'}, {'MUS-111 Basic Musicianship I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60859&print'}, {'MUS-112 Basic Musicianship II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60860&print'}, {'MUS-120 Introductory Music Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60862&print'}, {'MUS-211 Basic Musicianship III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60863&print'}, {'MUS-212 Basic Musicianship IV': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60864&print'}, {'MUS-220 Music and Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60865&print'}, {'MUS-221 Music History I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60866&print'}, {'MUS-320 Music History II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60872&print'}, {'MUS-321 Music History III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60873&print'}, {'MUS-352 Basic Conducting': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60886&print'}, 'two credits of performance topics', {'MUS-050 Recital Attendance': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60833&print'}, {'MUS-060 Symphony Orchestra': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60835&print'}, {'MUS-061 Furman Band': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60836&print'}, {'MUS-062 Furman Singers': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60837&print'}, {'MUS-063 Men’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60838&print'}, {'MUS-064 Women’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60839&print'}, {'MUS-076 Guitar Ensemble': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60850&print'}]"
376,"Music Theory, B.M.",h3: seven semesters of:,[{'MUS-050 Recital Attendance': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60833&print'}]
377,"Music Theory, B.M.","h3: and, participation each semester students are on campus in at least one major ensemble group:","[{'MUS-060 Symphony Orchestra': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60835&print'}, {'MUS-061 Furman Band': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60836&print'}, {'MUS-062 Furman Singers': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60837&print'}, {'MUS-063 Men’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60838&print'}, {'MUS-064 Women’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60839&print'}, {'MUS-076 Guitar Ensemble': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60850&print'}]"
378,"Music Theory, B.M.",h2: A theory major must also include:,"[{'MUS-310 Form and Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60867&print'}, {'MUS-311 Composition Seminar': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60868&print'}, {'MUS-312 Orchestration': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60869&print'}, {'MUS-410 Counterpoint': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60891&print'}, {'MUS-411 Contemporary Styles and Techniques': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60892&print'}, {'MUS-412 Senior Project': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60893&print'}, 'at least 16 credits of performance studies, which must includeat least one course each in strings, brass, percussion and woodwind instruments', 'four credits of music electives numbered between 300 and 499', 'and, at least four more credits in other music electives.']"
379,"Music, B.A.",h2: All music majors include:,"[{'MUS-051 Freshman Music Colloquium': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60834&print'}, {'MUS-111 Basic Musicianship I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60859&print'}, {'MUS-112 Basic Musicianship II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60860&print'}, {'MUS-120 Introductory Music Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60862&print'}, {'MUS-211 Basic Musicianship III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60863&print'}, {'MUS-212 Basic Musicianship IV': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60864&print'}, {'MUS-220 Music and Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60865&print'}, {'MUS-221 Music History I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60866&print'}, {'MUS-320 Music History II': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60872&print'}, {'MUS-321 Music History III': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60873&print'}, {'MUS-352 Basic Conducting': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60886&print'}, 'two credits of performance topics', {'MUS-050 Recital Attendance': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60833&print'}, {'MUS-060 Symphony Orchestra': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60835&print'}, {'MUS-061 Furman Band': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60836&print'}, {'MUS-062 Furman Singers': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60837&print'}, {'MUS-063 Men’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60838&print'}, {'MUS-064 Women’s Chorale': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60839&print'}, {'MUS-076 Guitar Ensemble': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60850&print'}]"
380,"Music, B.A.",h3: seven semesters of:,[{'MUS-050 Recital Attendance': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60833&print'}]
